,G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
493,3,Sep 14 2019,7:00 PM,Sat,Florida International,,New Hampshire,Non-Major,W,30,17,1,2,W 1,,
494,4,Sep 20 2019,8:00 PM,Fri,Florida International,@,Louisiana Tech,CUSA,L,31,43,1,3,L 1,,
495,5,Oct 5 2019,7:00 PM,Sat,Florida International,,Massachusetts,Ind,W,44,0,2,3,W 1,,
496,6,Oct 12 2019,7:00 PM,Sat,Florida International,,Charlotte,CUSA,W,48,23,3,3,W 2,,
497,7,Oct 19 2019,7:00 PM,Sat,Florida International,,UTEP,CUSA,W,32,17,4,3,W 3,,
498,8,Oct 26 2019,3:30 PM,Sat,Florida International,@,Middle Tennessee State,CUSA,,,,,,,,
499,9,Nov 2 2019,12:00 PM,Sat,Florida International,,Old Dominion,CUSA,,,,,,,,
500,2,Sep 7 2019,7:00 PM,Sat,Middle Tennessee State,,Tennessee State,Non-Major,W,45,26,1,1,W 1,,
501,7,Oct 19 2019,4:00 PM,Sat,Middle Tennessee State,@,North Texas,CUSA,L,30,33,2,5,L 2,,
502,9,Nov 2 2019,3:30 PM,Sat,Middle Tennessee State,@,Charlotte,CUSA,,,,,,,,
503,10,Nov 16 2019,4:30 PM,Sat,Middle Tennessee State,,Rice,CUSA,,,,,,,,
504,11,Nov 23 2019,4:30 PM,Sat,Middle Tennessee State,,Old Dominion,CUSA,,,,,,,,
505,1,Aug 29 2019,12:00 PM,Thu,Charlotte,,Gardner-Webb,Non-Major,W,49,28,1,0,W 1,,
506,2,Sep 7 2019,3:30 PM,Sat,Charlotte,@,Appalachian State,Sun Belt,L,41,56,1,1,L 1,,
507,3,Sep 14 2019,6:00 PM,Sat,Charlotte,,Massachusetts,Ind,W,52,17,2,1,W 1,,
508,8,Oct 26 2019,3:30 PM,Sat,Charlotte,,North Texas,CUSA,,,,,,,,
509,10,Nov 9 2019,3:00 PM,Sat,Charlotte,@,UTEP,CUSA,,,,,,,,
510,12,Nov 30 2019,2:00 PM,Sat,Charlotte,@,Old Dominion,CUSA,,,,,,,,
511,1,Aug 31 2019,7:00 PM,Sat,Old Dominion,,Norfolk State,Non-Major,W,24,21,1,0,W 1,,
512,7,Oct 19 2019,4:00 PM,Sat,Old Dominion,@,UAB,CUSA,L,14,38,1,6,L 6,,
513,10,Nov 9 2019,2:00 PM,Sat,Old Dominion,,UTSA,CUSA,,,,,,,,
514,2,Sep 7 2019,3:30 PM,Sat,Louisiana Tech,,Grambling State,Non-Major,W,20,14,1,1,W 1,,
515,3,Sep 14 2019,5:00 PM,Sat,Louisiana Tech,@,Bowling Green State,MAC,W,35,7,2,1,W 2,,
516,5,Sep 28 2019,7:00 PM,Sat,Louisiana Tech,@,Rice,CUSA,W,23,20,4,1,W 4,,
517,6,Oct 12 2019,7:00 PM,Sat,Louisiana Tech,,Massachusetts,Ind,W,69,21,5,1,W 5,,
518,7,Oct 19 2019,3:30 PM,Sat,Louisiana Tech,,Southern Mississippi,CUSA,W,45,30,6,1,W 6,,
519,8,Oct 26 2019,8:00 PM,Sat,Louisiana Tech,@,UTEP,CUSA,,,,,,,,
520,9,Nov 9 2019,4:00 PM,Sat,Louisiana Tech,,North Texas,CUSA,,,,,,,,
521,11,Nov 23 2019,12:00 PM,Sat,Louisiana Tech,@,UAB,CUSA,,,,,,,,
522,12,Nov 30 2019,3:30 PM,Sat,Louisiana Tech,,UTSA,CUSA,,,,,,,,
523,1,Aug 29 2019,8:00 PM,Thu,UAB,,Alabama State,Non-Major,W,24,19,1,0,W 1,,
524,2,Sep 7 2019,12:00 PM,Sat,UAB,@,Akron,MAC,W,31,20,2,0,W 2,,
525,3,Sep 21 2019,3:30 PM,Sat,UAB,,South Alabama,Sun Belt,W,35,3,3,0,W 3,,
526,5,Oct 5 2019,7:00 PM,Sat,UAB,,Rice,CUSA,W,35,20,4,1,W 1,,
527,6,Oct 12 2019,6:00 PM,Sat,UAB,@,UTSA,CUSA,W,33,14,5,1,W 2,,
528,9,Nov 9 2019,3:30 PM,Sat,UAB,@,Southern Mississippi,CUSA,,,,,,,,
529,10,Nov 16 2019,12:00 PM,Sat,UAB,,UTEP,CUSA,,,,,,,,
530,12,Nov 30 2019,4:00 PM,Sat,UAB,@,North Texas,CUSA,,,,,,,,
531,1,Aug 31 2019,7:00 PM,Sat,Southern Mississippi,,Alcorn State,Non-Major,W,38,10,1,0,W 1,,
532,3,Sep 14 2019,6:00 PM,Sat,Southern Mississippi,@,Troy,Sun Belt,W,47,42,2,1,W 1,,
533,5,Sep 28 2019,7:00 PM,Sat,Southern Mississippi,,UTEP,CUSA,W,31,13,3,2,W 1,,
534,6,Oct 12 2019,7:00 PM,Sat,Southern Mississippi,,North Texas,CUSA,W,45,27,4,2,W 2,,
535,8,Oct 26 2019,1:00 PM,Sat,Southern Mississippi,@,Rice,CUSA,,,,,,,,
536,10,Nov 16 2019,6:00 PM,Sat,Southern Mississippi,@,UTSA,CUSA,,,,,,,,
537,1,Aug 31 2019,7:30 PM,Sat,North Texas,,Abilene Christian,Non-Major,W,51,31,1,0,W 1,,
538,3,Sep 14 2019,4:15 PM,Sat,North Texas,@,California,Pac-12,L,17,23,1,2,L 2,,
539,4,Sep 21 2019,7:30 PM,Sat,North Texas,,UTSA,CUSA,W,45,3,2,2,W 1,,
540,9,Nov 2 2019,3:30 PM,Sat,North Texas,,UTEP,CUSA,,,,,,,,
541,11,Nov 23 2019,3:30 PM,Sat,North Texas,@,Rice,CUSA,,,,,,,,
542,1,Aug 31 2019,6:00 PM,Sat,UTSA,,Incarnate Word,Non-Major,W,35,7,1,0,W 1,,
543,3,Sep 14 2019,3:30 PM,Sat,UTSA,,Army,Ind,L,13,31,1,2,L 2,,
544,5,Oct 5 2019,8:00 PM,Sat,UTSA,@,UTEP,CUSA,W,26,16,2,3,W 1,,
545,7,Oct 19 2019,6:00 PM,Sat,UTSA,,Rice,CUSA,W,31,27,3,4,W 1,,
546,1,Aug 31 2019,8:00 PM,Sat,UTEP,,Houston Baptist,Non-Major,W,36,34,1,0,W 1,,
547,3,Sep 21 2019,8:00 PM,Sat,UTEP,,Nevada,MWC,L,21,37,1,2,L 2,,
548,11,Nov 23 2019,4:00 PM,Sat,UTEP,@,New Mexico State,Ind,,,,,,,,
549,12,Nov 30 2019,3:00 PM,Sat,UTEP,,Rice,CUSA,,,,,,,,
550,1,Aug 30 2019,6:00 PM,Fri,Rice,@,Army,Ind,L,7,14,0,1,L 1,,
551,2,Sep 7 2019,7:30 PM,Sat,Liberty,@,Louisiana,Sun Belt,L,14,35,0,2,L 2,,
552,3,Sep 14 2019,6:00 PM,Sat,Liberty,,Buffalo,MAC,W,35,17,1,2,W 1,,
553,4,Sep 21 2019,6:00 PM,Sat,Liberty,,Hampton,Non-Major,W,62,27,2,2,W 2,,
554,5,Sep 28 2019,6:00 PM,Sat,Liberty,,New Mexico,MWC,W,17,10,3,2,W 3,,
555,6,Oct 5 2019,8:00 PM,Sat,Liberty,@,New Mexico State,Ind,W,20,13,4,2,W 4,,
556,7,Oct 19 2019,6:00 PM,Sat,Liberty,,Maine,Non-Major,W,59,44,5,2,W 5,,
557,9,Nov 2 2019,12:00 PM,Sat,Liberty,@,Massachusetts,Ind,,,,,,,,
558,10,Nov 9 2019,12:00 PM,Sat,Liberty,@,Brigham Young,Ind,,,,,,,,
559,12,Nov 30 2019,2:00 PM,Sat,Liberty,,New Mexico State,Ind,,,,,,,,
560,1,Aug 31 2019,10:00 PM,Sat,New Mexico State,@,(23) Washington State,Pac-12,L,7,58,0,1,L 1,,
561,3,Sep 14 2019,8:00 PM,Sat,New Mexico State,,San Diego State,MWC,L,10,31,0,3,L 3,,
562,4,Sep 21 2019,4:30 PM,Sat,New Mexico State,@,New Mexico,MWC,L,52,55,0,4,L 4,,
563,5,Sep 28 2019,8:00 PM,Sat,New Mexico State,,Fresno State,MWC,L,17,30,0,5,L 5,,
564,7,Oct 12 2019,3:00 PM,Sat,New Mexico State,@,Central Michigan,MAC,L,28,42,0,7,L 7,,
565,8,Oct 26 2019,3:00 PM,Sat,New Mexico State,@,Georgia Southern,Sun Belt,,,,,,,,
566,10,Nov 16 2019,4:00 PM,Sat,New Mexico State,,Incarnate Word,Non-Major,,,,,,,,
567,2,Sep 7 2019,3:30 PM,Sat,Massachusetts,,Southern Illinois,Non-Major,L,20,45,0,2,L 2,,
568,4,Sep 21 2019,1:00 PM,Sat,Massachusetts,,Coastal Carolina,Sun Belt,L,28,62,0,4,L 4,,
569,5,Sep 28 2019,3:30 PM,Sat,Massachusetts,,Akron,MAC,W,37,29,1,4,W 1,,
570,10,Nov 9 2019,12:00 PM,Sat,Massachusetts,@,Army,Ind,,,,,,,,
571,12,Nov 23 2019,12:00 PM,Sat,Massachusetts,,Brigham Young,Ind,,,,,,,,
572,2,Sep 14 2019,2:30 PM,Sat,(7) Notre Dame,,New Mexico,MWC,W,66,14,2,0,W 2,,
573,5,Oct 5 2019,3:30 PM,Sat,(9) Notre Dame,,Bowling Green State,MAC,W,52,0,4,1,W 2,,
574,6,Oct 12 2019,7:30 PM,Sat,(9) Notre Dame,,USC,Pac-12,W,30,27,5,1,W 3,,
575,12,Nov 30 2019,12:00 PM,Sat,(8) Notre Dame,@,Stanford,Pac-12,,,,,,,,
576,4,Sep 21 2019,12:00 PM,Sat,Army,,Morgan State,Non-Major,W,52,21,3,1,W 2,,
577,7,Oct 19 2019,7:00 PM,Sat,Army,@,Georgia State,Sun Belt,L,21,28,3,4,L 3,,
578,8,Oct 26 2019,12:00 PM,Sat,Army,,San Jose State,MWC,,,,,,,,
579,9,Nov 2 2019,3:30 PM,Sat,Army,@,Air Force,MWC,,,,,,,,
580,11,Nov 16 2019,12:00 PM,Sat,Army,,Virginia Military Institute,Non-Major,,,,,,,,
581,12,Nov 30 2019,11:59 PM,Sat,Army,@,Hawaii,MWC,,,,,,,,
582,1,Aug 29 2019,10:15 PM,Thu,Brigham Young,,(14) Utah,Pac-12,L,12,30,0,1,L 1,,
583,3,Sep 14 2019,3:30 PM,Sat,Brigham Young,,(24) USC,Pac-12,W,30,27,2,1,W 2,,
584,4,Sep 21 2019,3:30 PM,Sat,Brigham Young,,(22) Washington,Pac-12,L,19,45,2,2,L 1,,
585,5,Sep 28 2019,12:00 PM,Sat,Brigham Young,@,Toledo,MAC,L,21,28,2,3,L 2,,
586,7,Oct 19 2019,10:15 PM,Sat,Brigham Young,,(14) Boise State,MWC,W,28,25,3,4,W 1,,
587,8,Nov 2 2019,10:00 PM,Sat,Brigham Young,@,Utah State,MWC,,,,,,,,
588,10,Nov 16 2019,3:00 PM,Sat,Brigham Young,,Idaho State,Non-Major,,,,,,,,
589,12,Nov 30 2019,9:00 PM,Sat,Brigham Young,@,San Diego State,MWC,,,,,,,,
590,1,Aug 29 2019,10:00 PM,Thu,Kent State,@,Arizona State,Pac-12,L,7,30,0,1,L 1,,
591,2,Sep 7 2019,12:00 PM,Sat,Kent State,,Kennesaw State,Non-Major,W,26,23,1,1,W 1,,
592,4,Sep 21 2019,3:30 PM,Sat,Kent State,,Bowling Green State,MAC,W,62,20,2,2,W 1,,
593,6,Oct 12 2019,3:30 PM,Sat,Kent State,@,Akron,MAC,W,26,3,3,3,W 1,,
594,7,Oct 19 2019,12:00 PM,Sat,Kent State,@,Ohio,MAC,L,38,45,3,4,L 1,,
595,8,Oct 26 2019,3:30 PM,Sat,Kent State,,Miami (OH),MAC,,,,,,,,
596,9,Nov 5 2019,12:00 PM,Tue,Kent State,@,Toledo,MAC,,,,,,,,
597,10,Nov 14 2019,7:00 PM,Thu,Kent State,,Buffalo,MAC,,,,,,,,
598,11,Nov 23 2019,12:00 PM,Sat,Kent State,,Ball State,MAC,,,,,,,,
599,12,Nov 29 2019,12:00 PM,Fri,Kent State,@,Eastern Michigan,MAC,,,,,,,,
600,2,Sep 7 2019,2:30 PM,Sat,Miami (OH),,Tennessee Tech,Non-Major,W,48,17,1,1,W 1,,
601,5,Sep 28 2019,12:00 PM,Sat,Miami (OH),,Buffalo,MAC,W,34,20,2,3,W 1,,
602,6,Oct 12 2019,12:00 PM,Sat,Miami (OH),@,Western Michigan,MAC,L,16,38,2,4,L 1,,
603,7,Oct 19 2019,2:30 PM,Sat,Miami (OH),,Northern Illinois,MAC,W,27,24,3,4,W 1,,
604,9,Nov 6 2019,8:00 PM,Wed,Miami (OH),@,Ohio,MAC,,,,,,,,
605,10,Nov 13 2019,8:00 PM,Wed,Miami (OH),,Bowling Green State,MAC,,,,,,,,
606,11,Nov 20 2019,7:30 PM,Wed,Miami (OH),,Akron,MAC,,,,,,,,
607,12,Nov 29 2019,12:00 PM,Fri,Miami (OH),@,Ball State,MAC,,,,,,,,
608,1,Aug 31 2019,2:00 PM,Sat,Ohio,,Rhode Island,Non-Major,W,41,20,1,0,W 1,,
609,4,Sep 21 2019,2:00 PM,Sat,Ohio,,Louisiana,Sun Belt,L,25,45,1,3,L 3,,
610,5,Oct 5 2019,3:30 PM,Sat,Ohio,@,Buffalo,MAC,W,21,20,2,3,W 1,,
611,6,Oct 12 2019,3:30 PM,Sat,Ohio,,Northern Illinois,MAC,L,36,39,2,4,L 1,,
612,8,Oct 26 2019,2:00 PM,Sat,Ohio,@,Ball State,MAC,,,,,,,,
613,10,Nov 12 2019,12:00 PM,Tue,Ohio,,Western Michigan,MAC,,,,,,,,
614,11,Nov 19 2019,7:30 PM,Tue,Ohio,@,Bowling Green State,MAC,,,,,,,,
615,12,Nov 26 2019,7:00 PM,Tue,Ohio,@,Akron,MAC,,,,,,,,
616,1,Aug 29 2019,7:00 PM,Thu,Buffalo,,Robert Morris,Non-Major,W,38,10,1,0,W 1,,
617,7,Oct 19 2019,3:30 PM,Sat,Buffalo,@,Akron,MAC,W,21,0,3,4,W 1,,
618,8,Oct 26 2019,3:30 PM,Sat,Buffalo,,Central Michigan,MAC,,,,,,,,
619,9,Nov 2 2019,12:00 PM,Sat,Buffalo,@,Eastern Michigan,MAC,,,,,,,,
620,11,Nov 20 2019,7:30 PM,Wed,Buffalo,,Toledo,MAC,,,,,,,,
621,12,Nov 29 2019,12:00 PM,Fri,Buffalo,,Bowling Green State,MAC,,,,,,,,
622,1,Aug 29 2019,7:00 PM,Thu,Bowling Green State,,Morgan State,Non-Major,W,46,3,1,0,W 1,,
623,6,Oct 12 2019,12:00 PM,Sat,Bowling Green State,,Toledo,MAC,W,20,7,2,4,W 1,,
624,7,Oct 19 2019,2:00 PM,Sat,Bowling Green State,,Central Michigan,MAC,L,20,38,2,5,L 1,,
625,8,Oct 26 2019,12:00 PM,Sat,Bowling Green State,@,Western Michigan,MAC,,,,,,,,
626,9,Nov 2 2019,2:00 PM,Sat,Bowling Green State,,Akron,MAC,,,,,,,,
627,3,Sep 14 2019,3:00 PM,Sat,Akron,@,Central Michigan,MAC,L,24,45,0,3,L 3,,
628,4,Sep 21 2019,3:00 PM,Sat,Akron,,Troy,Sun Belt,L,7,35,0,4,L 4,,
629,8,Oct 26 2019,3:30 PM,Sat,Akron,@,Northern Illinois,MAC,,,,,,,,
630,10,Nov 12 2019,12:00 PM,Tue,Akron,,Eastern Michigan,MAC,,,,,,,,
631,2,Sep 7 2019,2:00 PM,Sat,Ball State,,Fordham,Non-Major,W,57,29,1,1,W 1,,
632,5,Oct 5 2019,3:30 PM,Sat,Ball State,@,Northern Illinois,MAC,W,27,20,2,3,W 1,,
633,6,Oct 12 2019,2:00 PM,Sat,Ball State,@,Eastern Michigan,MAC,W,29,23,3,3,W 2,,
634,7,Oct 19 2019,2:00 PM,Sat,Ball State,,Toledo,MAC,W,52,14,4,3,W 3,,
635,9,Nov 5 2019,12:00 PM,Tue,Ball State,@,Western Michigan,MAC,,,,,,,,
636,10,Nov 16 2019,12:00 PM,Sat,Ball State,,Central Michigan,MAC,,,,,,,,
637,1,Aug 29 2019,7:00 PM,Thu,Central Michigan,,Albany,Non-Major,W,38,21,1,0,W 1,,
638,5,Sep 28 2019,12:00 PM,Sat,Central Michigan,@,Western Michigan,MAC,L,15,31,2,3,L 2,,
639,6,Oct 5 2019,3:00 PM,Sat,Central Michigan,,Eastern Michigan,MAC,W,42,16,3,3,W 1,,
640,10,Nov 2 2019,12:00 PM,Sat,Central Michigan,,Northern Illinois,MAC,,,,,,,,
641,12,Nov 29 2019,12:00 PM,Fri,Central Michigan,,Toledo,MAC,,,,,,,,
642,1,Aug 31 2019,7:00 PM,Sat,Western Michigan,,Monmouth,Non-Major,W,48,13,1,0,W 1,,
643,3,Sep 14 2019,7:00 PM,Sat,Western Michigan,,Georgia State,Sun Belt,W,57,10,2,1,W 1,,
644,6,Oct 5 2019,3:30 PM,Sat,Western Michigan,@,Toledo,MAC,L,24,31,3,3,L 1,,
645,8,Oct 19 2019,7:00 PM,Sat,Western Michigan,@,Eastern Michigan,MAC,L,27,34,4,4,L 1,,
646,12,Nov 26 2019,7:00 PM,Tue,Western Michigan,@,Northern Illinois,MAC,,,,,,,,
647,1,Aug 31 2019,3:30 PM,Sat,Eastern Michigan,@,Coastal Carolina,Sun Belt,W,30,23,1,0,W 1,,
648,4,Sep 21 2019,3:00 PM,Sat,Eastern Michigan,,Central Connecticut State,Non-Major,W,34,29,3,1,W 2,,
649,8,Oct 26 2019,3:30 PM,Sat,Eastern Michigan,@,Toledo,MAC,,,,,,,,
650,11,Nov 19 2019,7:30 PM,Tue,Eastern Michigan,@,Northern Illinois,MAC,,,,,,,,
651,2,Sep 14 2019,7:00 PM,Sat,Toledo,,Murray State,Non-Major,W,45,0,1,1,W 1,,
652,3,Sep 21 2019,10:15 PM,Sat,Toledo,@,Colorado State,MWC,W,41,35,2,1,W 2,,
653,10,Nov 13 2019,8:00 PM,Wed,Toledo,,Northern Illinois,MAC,,,,,,,,
654,1,Aug 31 2019,7:00 PM,Sat,Northern Illinois,,Illinois State,Non-Major,W,24,10,1,0,W 1,,
655,2,Sep 7 2019,1:00 PM,Sat,Northern Illinois,@,(13) Utah,Pac-12,L,17,35,1,1,L 1,,
656,3,Sep 14 2019,10:15 PM,Sat,(22) Boise State,,Portland State,Non-Major,W,45,10,3,0,W 3,,
657,4,Sep 20 2019,9:00 PM,Fri,(20) Boise State,,Air Force,MWC,W,30,19,4,0,W 4,,
658,5,Oct 5 2019,10:30 PM,Sat,(16) Boise State,@,Nevada-Las Vegas,MWC,W,38,13,5,0,W 5,,
659,6,Oct 12 2019,10:15 PM,Sat,(14) Boise State,,Hawaii,MWC,W,59,37,6,0,W 6,,
660,8,Nov 2 2019,10:30 PM,Sat,(22) Boise State,@,San Jose State,MWC,,,,,,,,
661,9,Nov 9 2019,12:00 PM,Sat,(22) Boise State,,Wyoming,MWC,,,,,,,,
662,10,Nov 16 2019,12:00 PM,Sat,(22) Boise State,,New Mexico,MWC,,,,,,,,
663,11,Nov 23 2019,10:30 PM,Sat,(22) Boise State,@,Utah State,MWC,,,,,,,,
664,12,Nov 29 2019,3:30 PM,Fri,(22) Boise State,@,Colorado State,MWC,,,,,,,,
665,2,Sep 7 2019,7:30 PM,Sat,Utah State,,Stony Brook,Non-Major,W,62,7,1,1,W 1,,
666,3,Sep 21 2019,10:30 PM,Sat,Utah State,@,San Diego State,MWC,W,23,17,2,1,W 2,,
667,4,Sep 28 2019,7:30 PM,Sat,Utah State,,Colorado State,MWC,W,34,24,3,1,W 3,,
668,6,Oct 19 2019,10:15 PM,Sat,Utah State,,Nevada,MWC,W,36,10,4,2,W 1,,
669,7,Oct 26 2019,10:15 PM,Sat,Utah State,@,Air Force,MWC,,,,,,,,
670,9,Nov 9 2019,7:00 PM,Sat,Utah State,@,Fresno State,MWC,,,,,,,,
671,10,Nov 16 2019,12:00 PM,Sat,Utah State,,Wyoming,MWC,,,,,,,,
672,12,Nov 30 2019,4:00 PM,Sat,Utah State,@,New Mexico,MWC,,,,,,,,
673,1,Aug 31 2019,3:30 PM,Sat,Air Force,,Colgate,Non-Major,W,48,7,1,0,W 1,,
674,2,Sep 14 2019,1:00 PM,Sat,Air Force,@,Colorado,Pac-12,W,30,23,2,0,W 2,,
675,4,Sep 27 2019,8:00 PM,Fri,Air Force,,San Jose State,MWC,W,41,24,3,1,W 1,,
676,6,Oct 12 2019,7:00 PM,Sat,Air Force,,Fresno State,MWC,W,43,24,4,2,W 1,,
677,7,Oct 19 2019,11:00 PM,Sat,Air Force,@,Hawaii,MWC,W,56,26,5,2,W 2,,
678,10,Nov 9 2019,2:00 PM,Sat,Air Force,@,New Mexico,MWC,,,,,,,,
679,11,Nov 16 2019,12:00 PM,Sat,Air Force,@,Colorado State,MWC,,,,,,,,
680,12,Nov 30 2019,2:00 PM,Sat,Air Force,,Wyoming,MWC,,,,,,,,
681,2,Sep 7 2019,7:00 PM,Sat,Wyoming,@,Texas State,Sun Belt,W,23,14,2,0,W 2,,
682,3,Sep 14 2019,5:00 PM,Sat,Wyoming,,Idaho,Non-Major,W,21,16,3,0,W 3,,
683,5,Sep 28 2019,8:00 PM,Sat,Wyoming,,Nevada-Las Vegas,MWC,W,53,17,4,1,W 1,,
684,6,Oct 12 2019,10:30 PM,Sat,Wyoming,@,San Diego State,MWC,L,22,26,4,2,L 1,,
685,7,Oct 19 2019,3:00 PM,Sat,Wyoming,,New Mexico,MWC,W,23,10,5,2,W 1,,
686,8,Oct 26 2019,2:00 PM,Sat,Wyoming,,Nevada,MWC,,,,,,,,
687,11,Nov 22 2019,9:30 PM,Fri,Wyoming,,Colorado State,MWC,,,,,,,,
688,1,Aug 30 2019,10:00 PM,Fri,Colorado State,N,Colorado,Pac-12,L,31,52,0,1,L 1,,
689,2,Sep 7 2019,4:00 PM,Sat,Colorado State,,Western Illinois,Non-Major,W,38,13,1,1,W 1,,
690,6,Oct 5 2019,10:00 PM,Sat,Colorado State,,San Diego State,MWC,L,10,24,1,5,L 4,,
691,7,Oct 11 2019,8:00 PM,Fri,Colorado State,@,New Mexico,MWC,W,35,21,2,5,W 1,,
692,8,Oct 26 2019,7:30 PM,Sat,Colorado State,@,Fresno State,MWC,,,,,,,,
693,9,Nov 2 2019,3:30 PM,Sat,Colorado State,,Nevada-Las Vegas,MWC,,,,,,,,
694,1,Aug 31 2019,6:00 PM,Sat,New Mexico,,Sam Houston State,Non-Major,W,39,31,1,0,W 1,,
695,5,Oct 4 2019,10:00 PM,Fri,New Mexico,@,San Jose State,MWC,L,21,32,2,3,L 2,,
696,8,Oct 26 2019,4:00 PM,Sat,New Mexico,,Hawaii,MWC,,,,,,,,
697,9,Nov 2 2019,10:30 PM,Sat,New Mexico,@,Nevada,MWC,,,,,,,,
698,1,Aug 31 2019,9:00 PM,Sat,San Diego State,,Weber State,Non-Major,W,6,0,1,0,W 1,,
699,2,Sep 7 2019,4:15 PM,Sat,San Diego State,@,UCLA,Pac-12,W,23,14,2,0,W 2,,
700,7,Oct 19 2019,7:00 PM,Sat,San Diego State,@,San Jose State,MWC,W,27,17,6,1,W 3,,
701,8,Oct 26 2019,10:30 PM,Sat,San Diego State,@,Nevada-Las Vegas,MWC,,,,,,,,
702,9,Nov 9 2019,12:00 PM,Sat,San Diego State,,Nevada,MWC,,,,,,,,
703,10,Nov 15 2019,9:30 PM,Fri,San Diego State,,Fresno State,MWC,,,,,,,,
704,11,Nov 23 2019,11:00 PM,Sat,San Diego State,@,Hawaii,MWC,,,,,,,,
705,1,Aug 31 2019,10:30 PM,Sat,Fresno State,@,USC,Pac-12,L,23,31,0,1,L 1,,
706,3,Sep 21 2019,10:00 PM,Sat,Fresno State,,Sacramento State,Non-Major,W,34,20,1,2,W 1,,
707,6,Oct 18 2019,10:00 PM,Fri,Fresno State,,Nevada-Las Vegas,MWC,W,56,27,3,3,W 1,,
708,8,Nov 2 2019,11:59 PM,Sat,Fresno State,@,Hawaii,MWC,,,,,,,,
709,11,Nov 23 2019,12:00 PM,Sat,Fresno State,,Nevada,MWC,,,,,,,,
710,12,Nov 30 2019,12:00 PM,Sat,Fresno State,@,San Jose State,MWC,,,,,,,,
711,1,Aug 24 2019,10:30 PM,Sat,Hawaii,,Arizona,Pac-12,W,45,38,1,0,W 1,,
712,2,Sep 7 2019,11:59 PM,Sat,Hawaii,,Oregon State,Pac-12,W,31,28,2,0,W 2,,
713,3,Sep 14 2019,7:30 PM,Sat,Hawaii,@,(23) Washington,Pac-12,L,20,52,2,1,L 1,,
714,4,Sep 21 2019,11:59 PM,Sat,Hawaii,,Central Arkansas,Non-Major,W,35,16,3,1,W 1,,
715,5,Sep 28 2019,10:30 PM,Sat,Hawaii,@,Nevada,MWC,W,54,3,4,1,W 2,,
716,10,Nov 9 2019,11:00 PM,Sat,Hawaii,,San Jose State,MWC,,,,,,,,
717,11,Nov 16 2019,4:00 PM,Sat,Hawaii,@,Nevada-Las Vegas,MWC,,,,,,,,
718,2,Sep 7 2019,7:30 PM,Sat,Nevada,@,(16) Oregon,Pac-12,L,6,77,1,1,L 1,,
719,3,Sep 14 2019,7:00 PM,Sat,Nevada,,Weber State,Non-Major,W,19,13,2,1,W 1,,
720,6,Oct 12 2019,4:00 PM,Sat,Nevada,,San Jose State,MWC,W,41,38,4,2,W 1,,
721,12,Nov 30 2019,3:00 PM,Sat,Nevada,,Nevada-Las Vegas,MWC,,,,,,,,
722,1,Aug 29 2019,10:00 PM,Thu,San Jose State,,Northern Colorado,Non-Major,W,35,18,1,0,W 1,,
723,11,Nov 23 2019,4:00 PM,Sat,San Jose State,@,Nevada-Las Vegas,MWC,,,,,,,,
724,1,Aug 31 2019,10:00 PM,Sat,Nevada-Las Vegas,,Southern Utah,Non-Major,W,56,23,1,0,W 1,,
725,2,Sep 7 2019,10:00 PM,Sat,Nevada-Las Vegas,,Arkansas State,Sun Belt,L,17,43,1,1,L 1,,
726,3,Sep 14 2019,10:45 PM,Sat,(15) Oregon,,Montana,Non-Major,W,35,3,2,1,W 2,,
727,4,Sep 21 2019,7:00 PM,Sat,(16) Oregon,@,Stanford,Pac-12,W,21,6,3,1,W 3,,
728,5,Oct 5 2019,8:00 PM,Sat,(13) Oregon,,California,Pac-12,W,17,7,4,1,W 4,,
729,6,Oct 11 2019,10:00 PM,Fri,(13) Oregon,,Colorado,Pac-12,W,45,3,5,1,W 5,,
730,7,Oct 19 2019,3:30 PM,Sat,(12) Oregon,@,(25) Washington,Pac-12,W,35,31,6,1,W 6,,
731,8,Oct 26 2019,10:30 PM,Sat,(11) Oregon,,Washington State,Pac-12,,,,,,,,
732,9,Nov 2 2019,8:00 PM,Sat,(11) Oregon,@,USC,Pac-12,,,,,,,,
733,10,Nov 16 2019,12:00 PM,Sat,(11) Oregon,,Arizona,Pac-12,,,,,,,,
734,11,Nov 23 2019,12:00 PM,Sat,(11) Oregon,@,(24) Arizona State,Pac-12,,,,,,,,
735,12,Nov 30 2019,12:00 PM,Sat,(11) Oregon,,Oregon State,Pac-12,,,,,,,,
736,3,Sep 14 2019,4:15 PM,Sat,Oregon State,,Cal Poly,Non-Major,W,45,7,1,2,W 1,,
737,4,Sep 28 2019,7:00 PM,Sat,Oregon State,,Stanford,Pac-12,L,28,31,1,3,L 1,,
738,5,Oct 5 2019,9:00 PM,Sat,Oregon State,@,UCLA,Pac-12,W,48,31,2,3,W 1,,
739,6,Oct 12 2019,8:00 PM,Sat,Oregon State,,(15) Utah,Pac-12,L,7,52,2,4,L 1,,
740,7,Oct 19 2019,2:30 PM,Sat,Oregon State,@,California,Pac-12,W,21,17,3,4,W 1,,
741,8,Nov 2 2019,4:30 PM,Sat,Oregon State,@,Arizona,Pac-12,,,,,,,,
742,9,Nov 8 2019,10:30 PM,Fri,Oregon State,,Washington,Pac-12,,,,,,,,
